LAT	LON	CODE	Synch_CHANGE	ColSD
34.05	-110.67	az078	0.024839789	#C9ECF4
29.45	-97.92	tx041	0.024858714	#C9ECF4
66.13	71.67	russ032w	0.024892117	#C9ECF4
29.28	82.05	nepa003	0.024908524	#C9ECF4
27.42	87.1	nepa034	0.024982128	#C9ECF4
51.92	6.17	neth024	0.025007667	#C9ECF4
33.38	-108.23	nm566	0.025029928	#C9ECF4
42.18	78.18	russ164w	0.025046344	#C9ECF4
36.47	-76.97	nc10	0.025058373	#C9ECF4
35.82	-78.68	nc1	0.025072348	#C9ECF4
47.5119	8.7392	swit363	0.025109491	#C9ECF4
54.3	-5.83	brit056	0.025126109	#C9ECF4
35.53	-105.57	nm040	0.025148507	#C9ECF4
43.87	11.67	ital008	0.025172347	#C9ECF4
62.85	25.48	finl066	0.025209811	#C9ECF4
32.98	-99.17	tx009	0.025231793	#C9ECF4
66.85	20.37	swed002	0.025234229	#C9ECF4
46.7	-88.75	mi010	0.025273487	#C9ECF4
61.33	-142.72	ak078	0.025300217	#C9ECF4
43.15	82.87	chin011	0.02532456	#C9ECF4
32.05	-83.3	ga004	0.025342104	#C9ECF4
35.53	-105.57	nm039	0.025430948	#C9ECF4
44.65	-112.77	mt001	0.025442122	#C9ECF4
62.47	137.75	russ057w	0.025449944	#C9ECF4
39.42	-114.58	nv508	0.025488747	#C9ECF4
37.5	32.5	turk033	0.02549464	#C9ECF4
41.62	-120.7	ca065	0.025535826	#C9ECF4
62.22	129.35	russ112w	0.025572762	#C9ECF4
52	5.72	neth021	0.025594164	#C9ECF4
36.25	-112.13	az060	0.025670247	#C9ECF4
36.33	-112.07	az062	0.025670247	#C9ECF4
36.28	-111.97	az063	0.025670247	#C9ECF4
46.48	9.88	swit337	0.025725392	#C9ECF4
40.8	-3.98	spai036	0.02574671	#C9ECF4
44.58	-68.17	me024	0.025752816	#C9ECF4
52.17	8.97	germ007	0.025781259	#C9ECF4
42.28	2.07	fran042	0.025803834	#C9ECF4
45.3	-111.33	mt110	0.02581859	#C9ECF4
37.03	-119.67	ca627	0.025820765	#C9ECF4
-43	-72.5	chil016	0.025825955	#C9ECF4
59.13	17.92	swed315	0.025861021	#C9ECF4
47.38	-121.5	wa030	0.025934879	#C9ECF4
38.85	-106.02	co609	0.025941025	#C9ECF4
37.55	-79.45	va009	0.025943726	#C9ECF4
66.72	-136.28	cana121	0.025945875	#C9ECF4
27.88	98.4	chin041	0.025978399	#C9ECF4
35.65	-78.88	nc6	0.025988163	#C9ECF4
40.42	-105.28	co592	0.026055968	#C9ECF4
37.38	-80.5	va013	0.026063727	#C9ECF4
44.93	-109.65	wy039	0.026090598	#C9ECF4
49	20	pola001	0.026107227	#C9ECF4
30.45	-85.92	fl001	0.026107815	#C9ECF4
34.22	-108.62	nm564	0.026212866	#C9ECF4
42.97	-109.77	wy045	0.026270843	#C9ECF4
36.67	-76.53	va20	0.026316542	#C9ECF4
41.5	33	turk034	0.026350458	#C9ECF4
42.63	-121.53	or059	0.026407246	#C9ECF4
47.85	-123.28	wa035	0.026427777	#C9ECF4
71.7	118.58	russ163w	0.026465693	#C9ECF4
55.27	-3.43	brit008	0.026524986	#C9ECF4
-54.78	-68.47	arge061	0.02653376	#C9ECF4
48.63	-121.37	wa051	0.026534476	#C9ECF4
58.33	-129.92	cana086	0.026535974	#C9ECF4
59.7	9.48	norw014	0.0265876	#C9ECF4
37.28	-119.08	ca087	0.026604613	#C9ECF4
43.97	-121.07	or061	0.026632158	#C9ECF4
34.22	-108.63	nm035	0.02663273	#C9ECF4
47.05	6.8	swit278	0.02665326	#C9ECF4
48.3	98.93	mong003	0.026718764	#C9ECF4
46.47	-84.87	mi009	0.026719026	#C9ECF4
61.15	-142.08	ak075	0.026770631	#C9ECF4
-54.68	-67.83	arge036	0.026783834	#C9ECF4
46.72	-111.8	mt100	0.026813583	#C9ECF4
34.37	-93.97	ar033	0.026863089	#C9ECF4
61.68	-120.72	cana048	0.026864162	#C9ECF4
48.27	-120.45	mt121	0.026912138	#C9ECF4
41.42	-74.08	ny002	0.02696777	#C9ECF4
66.9	65.6	russ220	0.026973981	#C9ECF4
-35.68	173.55	newz022	0.026980309	#C9ECF4
39.68	-105.2	co539	0.027002386	#C9ECF4
-38.88	-70.62	arge015	0.027052138	#C9ECF4
41.6	75.15	russ152w	0.027089165	#C9ECF4
50.77	100.2	mong001	0.027149869	#C9ECF4
32.22	-110.55	az525	0.027160989	#C9ECF4
